Value,Methods,metrics
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
,,
,DARU-Net,Precision
